Name,Year,Tenure,Percent_of_population_in_borough
Richmond upon Thames,2017,Buying.with.mortgage,44.5
Southwark,2017,Buying.with.mortgage,27.5
Sutton,2017,Buying.with.mortgage,45.2
Tower Hamlets,2017,Buying.with.mortgage,12.6
Waltham Forest,2017,Buying.with.mortgage,36
Wandsworth,2017,Buying.with.mortgage,38.5
Westminster,2017,Buying.with.mortgage,12.1
Inner London,2017,Buying.with.mortgage,23.6
Outer London,2017,Buying.with.mortgage,37.4
North East,2017,Buying.with.mortgage,36.9
North West,2017,Buying.with.mortgage,38.3
Yorkshire and The Humber,2017,Buying.with.mortgage,37.5
East Midlands,2017,Buying.with.mortgage,38.1
West Midlands,2017,Buying.with.mortgage,35.8
East of England,2017,Buying.with.mortgage,39
London,2017,Buying.with.mortgage,31.8
South East,2017,Buying.with.mortgage,41.7
South West,2017,Buying.with.mortgage,38.5
Wales,2017,Buying.with.mortgage,36.6
Scotland,2017,Buying.with.mortgage,37.2
Northern Ireland,2017,Buying.with.mortgage,36.7
UK,2017,Buying.with.mortgage,37.4
City of London,2016,Buying.with.mortgage,-
Barking and Dagenham,2016,Buying.with.mortgage,32.9
Barnet,2016,Buying.with.mortgage,33.7
Bexley,2016,Buying.with.mortgage,44.4
Brent,2016,Buying.with.mortgage,25.1
Bromley,2016,Buying.with.mortgage,48.8
Camden,2016,Buying.with.mortgage,19.4
Croydon,2016,Buying.with.mortgage,42.2
Ealing,2016,Buying.with.mortgage,32
Enfield,2016,Buying.with.mortgage,31.4
Greenwich,2016,Buying.with.mortgage,35.9
Hackney,2016,Buying.with.mortgage,20.8
Hammersmith and Fulham,2016,Buying.with.mortgage,22.5
Haringey,2016,Buying.with.mortgage,24.9
Harrow,2016,Buying.with.mortgage,33.8
Havering,2016,Buying.with.mortgage,45.8
Hillingdon,2016,Buying.with.mortgage,38.7
Hounslow,2016,Buying.with.mortgage,29.4
Islington,2016,Buying.with.mortgage,18.7
Kensington and Chelsea,2016,Buying.with.mortgage,15.6
Kingston upon Thames,2016,Buying.with.mortgage,40.3
Lambeth,2016,Buying.with.mortgage,27.1
Lewisham,2016,Buying.with.mortgage,38.7
Merton,2016,Buying.with.mortgage,36.4
Newham,2016,Buying.with.mortgage,19.6
Redbridge,2016,Buying.with.mortgage,40.1
Richmond upon Thames,2016,Buying.with.mortgage,44.5
Southwark,2016,Buying.with.mortgage,27.5
Sutton,2016,Buying.with.mortgage,45.2
Tower Hamlets,2016,Buying.with.mortgage,12.6
Waltham Forest,2016,Buying.with.mortgage,36
Wandsworth,2016,Buying.with.mortgage,38.5
Westminster,2016,Buying.with.mortgage,12.1
Inner London,2016,Buying.with.mortgage,23.6
Outer London,2016,Buying.with.mortgage,37.4
North East,2016,Buying.with.mortgage,36.9
North West,2016,Buying.with.mortgage,38.3
Yorkshire and The Humber,2016,Buying.with.mortgage,37.5
East Midlands,2016,Buying.with.mortgage,38.1
West Midlands,2016,Buying.with.mortgage,35.8
East of England,2016,Buying.with.mortgage,39
London,2016,Buying.with.mortgage,31.8
South East,2016,Buying.with.mortgage,41.7
South West,2016,Buying.with.mortgage,38.5
Wales,2016,Buying.with.mortgage,36.6
Scotland,2016,Buying.with.mortgage,37.2
Northern Ireland,2016,Buying.with.mortgage,36.7
UK,2016,Buying.with.mortgage,37.4
City of London,2015,Buying.with.mortgage,-
Barking and Dagenham,2015,Buying.with.mortgage,32.9
Barnet,2015,Buying.with.mortgage,33.7
Bexley,2015,Buying.with.mortgage,44.4
Brent,2015,Buying.with.mortgage,25.1
Bromley,2015,Buying.with.mortgage,48.8
Camden,2015,Buying.with.mortgage,19.4
Croydon,2015,Buying.with.mortgage,42.2
Ealing,2015,Buying.with.mortgage,32
Enfield,2015,Buying.with.mortgage,31.4
Greenwich,2015,Buying.with.mortgage,35.9
Hackney,2015,Buying.with.mortgage,20.8
Hammersmith and Fulham,2015,Buying.with.mortgage,22.5
Haringey,2015,Buying.with.mortgage,24.9
Harrow,2015,Buying.with.mortgage,33.8
Havering,2015,Buying.with.mortgage,45.8
Hillingdon,2015,Buying.with.mortgage,38.7
Hounslow,2015,Buying.with.mortgage,29.4
Islington,2015,Buying.with.mortgage,18.7
Kensington and Chelsea,2015,Buying.with.mortgage,15.6
Kingston upon Thames,2015,Buying.with.mortgage,40.3
Lambeth,2015,Buying.with.mortgage,27.1
Lewisham,2015,Buying.with.mortgage,38.7
Merton,2015,Buying.with.mortgage,36.4
Newham,2015,Buying.with.mortgage,19.6
Redbridge,2015,Buying.with.mortgage,40.1
Richmond upon Thames,2015,Buying.with.mortgage,44.5
Southwark,2015,Buying.with.mortgage,27.5
Sutton,2015,Buying.with.mortgage,45.2
Tower Hamlets,2015,Buying.with.mortgage,12.6
Waltham Forest,2015,Buying.with.mortgage,36
Wandsworth,2015,Buying.with.mortgage,38.5
Westminster,2015,Buying.with.mortgage,12.1
Inner London,2015,Buying.with.mortgage,23.6
Outer London,2015,Buying.with.mortgage,37.4
North East,2015,Buying.with.mortgage,36.9
North West,2015,Buying.with.mortgage,38.3
Yorkshire and The Humber,2015,Buying.with.mortgage,37.5
East Midlands,2015,Buying.with.mortgage,38.1
West Midlands,2015,Buying.with.mortgage,35.8
East of England,2015,Buying.with.mortgage,39
London,2015,Buying.with.mortgage,31.8
South East,2015,Buying.with.mortgage,41.7
South West,2015,Buying.with.mortgage,38.5
Wales,2015,Buying.with.mortgage,36.6
Scotland,2015,Buying.with.mortgage,37.2
Northern Ireland,2015,Buying.with.mortgage,36.7
UK,2015,Buying.with.mortgage,37.4
City of London,2014,Buying.with.mortgage,-
Barking and Dagenham,2014,Buying.with.mortgage,32.9
Barnet,2014,Buying.with.mortgage,33.7
Bexley,2014,Buying.with.mortgage,44.4
Brent,2014,Buying.with.mortgage,25.1
Bromley,2014,Buying.with.mortgage,48.8
Camden,2014,Buying.with.mortgage,19.4
Croydon,2014,Buying.with.mortgage,42.2
Ealing,2014,Buying.with.mortgage,32
Enfield,2014,Buying.with.mortgage,31.4
Greenwich,2014,Buying.with.mortgage,35.9
Hackney,2014,Buying.with.mortgage,20.8
Hammersmith and Fulham,2014,Buying.with.mortgage,22.5
Haringey,2014,Buying.with.mortgage,24.9
Harrow,2014,Buying.with.mortgage,33.8
Havering,2014,Buying.with.mortgage,45.8
Hillingdon,2014,Buying.with.mortgage,38.7
Hounslow,2014,Buying.with.mortgage,29.4
Islington,2014,Buying.with.mortgage,18.7
Kensington and Chelsea,2014,Buying.with.mortgage,15.6
Kingston upon Thames,2014,Buying.with.mortgage,40.3
Lambeth,2014,Buying.with.mortgage,27.1
Lewisham,2014,Buying.with.mortgage,38.7
Merton,2014,Buying.with.mortgage,36.4
Newham,2014,Buying.with.mortgage,19.6
Redbridge,2014,Buying.with.mortgage,40.1
Richmond upon Thames,2014,Buying.with.mortgage,44.5
Southwark,2014,Buying.with.mortgage,27.5
Sutton,2014,Buying.with.mortgage,45.2
Tower Hamlets,2014,Buying.with.mortgage,12.6
Waltham Forest,2014,Buying.with.mortgage,36
Wandsworth,2014,Buying.with.mortgage,38.5
Westminster,2014,Buying.with.mortgage,12.1
Inner London,2014,Buying.with.mortgage,23.6
Outer London,2014,Buying.with.mortgage,37.4
North East,2014,Buying.with.mortgage,36.9
North West,2014,Buying.with.mortgage,38.3
Yorkshire and The Humber,2014,Buying.with.mortgage,37.5
East Midlands,2014,Buying.with.mortgage,38.1
West Midlands,2014,Buying.with.mortgage,35.8
East of England,2014,Buying.with.mortgage,39
London,2014,Buying.with.mortgage,31.8
South East,2014,Buying.with.mortgage,41.7
South West,2014,Buying.with.mortgage,38.5
Wales,2014,Buying.with.mortgage,36.6
Scotland,2014,Buying.with.mortgage,37.2
Northern Ireland,2014,Buying.with.mortgage,36.7
UK,2014,Buying.with.mortgage,37.4
City of London,2013,Buying.with.mortgage,-
Barking and Dagenham,2013,Buying.with.mortgage,32.9
Barnet,2013,Buying.with.mortgage,33.7
Bexley,2013,Buying.with.mortgage,44.4
Brent,2013,Buying.with.mortgage,25.1
Bromley,2013,Buying.with.mortgage,48.8
Camden,2013,Buying.with.mortgage,19.4
Croydon,2013,Buying.with.mortgage,42.2
Ealing,2013,Buying.with.mortgage,32
Enfield,2013,Buying.with.mortgage,31.4
Greenwich,2013,Buying.with.mortgage,35.9
Hackney,2013,Buying.with.mortgage,20.8
Hammersmith and Fulham,2013,Buying.with.mortgage,22.5
Haringey,2013,Buying.with.mortgage,24.9
Harrow,2013,Buying.with.mortgage,33.8
Havering,2013,Buying.with.mortgage,45.8
Hillingdon,2013,Buying.with.mortgage,38.7
Hounslow,2013,Buying.with.mortgage,29.4
Islington,2013,Buying.with.mortgage,18.7
Kensington and Chelsea,2013,Buying.with.mortgage,15.6
Kingston upon Thames,2013,Buying.with.mortgage,40.3
Lambeth,2013,Buying.with.mortgage,27.1
Lewisham,2013,Buying.with.mortgage,38.7
Merton,2013,Buying.with.mortgage,36.4
Newham,2013,Buying.with.mortgage,19.6
Redbridge,2013,Buying.with.mortgage,40.1
Richmond upon Thames,2013,Buying.with.mortgage,44.5
Southwark,2013,Buying.with.mortgage,27.5
Sutton,2013,Buying.with.mortgage,45.2
Tower Hamlets,2013,Buying.with.mortgage,12.6
Waltham Forest,2013,Buying.with.mortgage,36
Wandsworth,2013,Buying.with.mortgage,38.5
Westminster,2013,Buying.with.mortgage,12.1
Inner London,2013,Buying.with.mortgage,23.6
Outer London,2013,Buying.with.mortgage,37.4
North East,2013,Buying.with.mortgage,36.9
North West,2013,Buying.with.mortgage,38.3
Yorkshire and The Humber,2013,Buying.with.mortgage,37.5
East Midlands,2013,Buying.with.mortgage,38.1
West Midlands,2013,Buying.with.mortgage,35.8
East of England,2013,Buying.with.mortgage,39
London,2013,Buying.with.mortgage,31.8
South East,2013,Buying.with.mortgage,41.7
South West,2013,Buying.with.mortgage,38.5
Wales,2013,Buying.with.mortgage,36.6
Scotland,2013,Buying.with.mortgage,37.2
Northern Ireland,2013,Buying.with.mortgage,36.7
UK,2013,Buying.with.mortgage,37.4
City of London,2012,Buying.with.mortgage,-
Barking and Dagenham,2012,Buying.with.mortgage,32.9
Barnet,2012,Buying.with.mortgage,33.7
Bexley,2012,Buying.with.mortgage,44.4
Brent,2012,Buying.with.mortgage,25.1
Bromley,2012,Buying.with.mortgage,48.8
Camden,2012,Buying.with.mortgage,19.4
Croydon,2012,Buying.with.mortgage,42.2
Ealing,2012,Buying.with.mortgage,32
Enfield,2012,Buying.with.mortgage,31.4
Greenwich,2012,Buying.with.mortgage,35.9
Hackney,2012,Buying.with.mortgage,20.8
Hammersmith and Fulham,2012,Buying.with.mortgage,22.5
Haringey,2012,Buying.with.mortgage,24.9
Harrow,2012,Buying.with.mortgage,33.8
Havering,2012,Buying.with.mortgage,45.8
Hillingdon,2012,Buying.with.mortgage,38.7
Hounslow,2012,Buying.with.mortgage,29.4
Islington,2012,Buying.with.mortgage,18.7
Kensington and Chelsea,2012,Buying.with.mortgage,15.6
Kingston upon Thames,2012,Buying.with.mortgage,40.3
Lambeth,2012,Buying.with.mortgage,27.1
Lewisham,2012,Buying.with.mortgage,38.7
Merton,2012,Buying.with.mortgage,36.4
Newham,2012,Buying.with.mortgage,19.6
Redbridge,2012,Buying.with.mortgage,40.1
Richmond upon Thames,2012,Buying.with.mortgage,44.5
Southwark,2012,Buying.with.mortgage,27.5
Sutton,2012,Buying.with.mortgage,45.2
Tower Hamlets,2012,Buying.with.mortgage,12.6
Waltham Forest,2012,Buying.with.mortgage,36
Wandsworth,2012,Buying.with.mortgage,38.5
Westminster,2012,Buying.with.mortgage,12.1
Inner London,2012,Buying.with.mortgage,23.6
Outer London,2012,Buying.with.mortgage,37.4
North East,2012,Buying.with.mortgage,36.9
North West,2012,Buying.with.mortgage,38.3
Yorkshire and The Humber,2012,Buying.with.mortgage,37.5
East Midlands,2012,Buying.with.mortgage,38.1
West Midlands,2012,Buying.with.mortgage,35.8
East of England,2012,Buying.with.mortgage,39
London,2012,Buying.with.mortgage,31.8
South East,2012,Buying.with.mortgage,41.7
South West,2012,Buying.with.mortgage,38.5
Wales,2012,Buying.with.mortgage,36.6
Scotland,2012,Buying.with.mortgage,37.2
Northern Ireland,2012,Buying.with.mortgage,36.7
UK,2012,Buying.with.mortgage,37.4
City of London,2011,Buying.with.mortgage,-
Barking and Dagenham,2011,Buying.with.mortgage,32.9
Barnet,2011,Buying.with.mortgage,33.7
Bexley,2011,Buying.with.mortgage,44.4
Brent,2011,Buying.with.mortgage,25.1
Bromley,2011,Buying.with.mortgage,48.8
Camden,2011,Buying.with.mortgage,19.4
Croydon,2011,Buying.with.mortgage,42.2
Ealing,2011,Buying.with.mortgage,32
Enfield,2011,Buying.with.mortgage,31.4
Greenwich,2011,Buying.with.mortgage,35.9
Hackney,2011,Buying.with.mortgage,20.8
Hammersmith and Fulham,2011,Buying.with.mortgage,22.5
Haringey,2011,Buying.with.mortgage,24.9
Harrow,2011,Buying.with.mortgage,33.8
Havering,2011,Buying.with.mortgage,45.8
Hillingdon,2011,Buying.with.mortgage,38.7
Hounslow,2011,Buying.with.mortgage,29.4
Islington,2011,Buying.with.mortgage,18.7
Kensington and Chelsea,2011,Buying.with.mortgage,15.6
Kingston upon Thames,2011,Buying.with.mortgage,40.3
Lambeth,2011,Buying.with.mortgage,27.1
Lewisham,2011,Buying.with.mortgage,38.7
Merton,2011,Buying.with.mortgage,36.4
Newham,2011,Buying.with.mortgage,19.6
Redbridge,2011,Buying.with.mortgage,40.1
Richmond upon Thames,2011,Buying.with.mortgage,44.5
Southwark,2011,Buying.with.mortgage,27.5
Sutton,2011,Buying.with.mortgage,45.2
Tower Hamlets,2011,Buying.with.mortgage,12.6
Waltham Forest,2011,Buying.with.mortgage,36
Wandsworth,2011,Buying.with.mortgage,38.5
Westminster,2011,Buying.with.mortgage,12.1
Inner London,2011,Buying.with.mortgage,23.6
Outer London,2011,Buying.with.mortgage,37.4
North East,2011,Buying.with.mortgage,36.9
North West,2011,Buying.with.mortgage,38.3
Yorkshire and The Humber,2011,Buying.with.mortgage,37.5
East Midlands,2011,Buying.with.mortgage,38.1
West Midlands,2011,Buying.with.mortgage,35.8
East of England,2011,Buying.with.mortgage,39
London,2011,Buying.with.mortgage,31.8
South East,2011,Buying.with.mortgage,41.7
South West,2011,Buying.with.mortgage,38.5
Wales,2011,Buying.with.mortgage,36.6
Scotland,2011,Buying.with.mortgage,37.2
Northern Ireland,2011,Buying.with.mortgage,36.7
UK,2011,Buying.with.mortgage,37.4
City of London,2010,Buying.with.mortgage,-
Barking and Dagenham,2010,Buying.with.mortgage,32.9
Barnet,2010,Buying.with.mortgage,33.7
Bexley,2010,Buying.with.mortgage,44.4
Brent,2010,Buying.with.mortgage,25.1
Bromley,2010,Buying.with.mortgage,48.8
Camden,2010,Buying.with.mortgage,19.4
Croydon,2010,Buying.with.mortgage,42.2
Ealing,2010,Buying.with.mortgage,32
Enfield,2010,Buying.with.mortgage,31.4
Greenwich,2010,Buying.with.mortgage,35.9
Hackney,2010,Buying.with.mortgage,20.8
Hammersmith and Fulham,2010,Buying.with.mortgage,22.5
Haringey,2010,Buying.with.mortgage,24.9
Harrow,2010,Buying.with.mortgage,33.8
Havering,2010,Buying.with.mortgage,45.8
Hillingdon,2010,Buying.with.mortgage,38.7
Hounslow,2010,Buying.with.mortgage,29.4
Islington,2010,Buying.with.mortgage,18.7
Kensington and Chelsea,2010,Buying.with.mortgage,15.6
Kingston upon Thames,2010,Buying.with.mortgage,40.3
Lambeth,2010,Buying.with.mortgage,27.1
Lewisham,2010,Buying.with.mortgage,38.7
Merton,2010,Buying.with.mortgage,36.4
Newham,2010,Buying.with.mortgage,19.6
Redbridge,2010,Buying.with.mortgage,40.1
Richmond upon Thames,2010,Buying.with.mortgage,44.5
Southwark,2010,Buying.with.mortgage,27.5
Sutton,2010,Buying.with.mortgage,45.2
Tower Hamlets,2010,Buying.with.mortgage,12.6
Waltham Forest,2010,Buying.with.mortgage,36
Wandsworth,2010,Buying.with.mortgage,38.5
Westminster,2010,Buying.with.mortgage,12.1
Inner London,2010,Buying.with.mortgage,23.6
Outer London,2010,Buying.with.mortgage,37.4
North East,2010,Buying.with.mortgage,36.9
North West,2010,Buying.with.mortgage,38.3
Yorkshire and The Humber,2010,Buying.with.mortgage,37.5
East Midlands,2010,Buying.with.mortgage,38.1
West Midlands,2010,Buying.with.mortgage,35.8
East of England,2010,Buying.with.mortgage,39
London,2010,Buying.with.mortgage,31.8
South East,2010,Buying.with.mortgage,41.7
South West,2010,Buying.with.mortgage,38.5
Wales,2010,Buying.with.mortgage,36.6
Scotland,2010,Buying.with.mortgage,37.2
Northern Ireland,2010,Buying.with.mortgage,36.7
UK,2010,Buying.with.mortgage,37.4
City of London,2009,Buying.with.mortgage,-
Barking and Dagenham,2009,Buying.with.mortgage,32.9
Barnet,2009,Buying.with.mortgage,33.7
Bexley,2009,Buying.with.mortgage,44.4
Brent,2009,Buying.with.mortgage,25.1
Bromley,2009,Buying.with.mortgage,48.8
Camden,2009,Buying.with.mortgage,19.4
Croydon,2009,Buying.with.mortgage,42.2
Ealing,2009,Buying.with.mortgage,32
Enfield,2009,Buying.with.mortgage,31.4
Greenwich,2009,Buying.with.mortgage,35.9
Hackney,2009,Buying.with.mortgage,20.8
Hammersmith and Fulham,2009,Buying.with.mortgage,22.5
Haringey,2009,Buying.with.mortgage,24.9
Harrow,2009,Buying.with.mortgage,33.8
Havering,2009,Buying.with.mortgage,45.8
Hillingdon,2009,Buying.with.mortgage,38.7
Hounslow,2009,Buying.with.mortgage,29.4
Islington,2009,Buying.with.mortgage,18.7
Kensington and Chelsea,2009,Buying.with.mortgage,15.6
Kingston upon Thames,2009,Buying.with.mortgage,40.3
Lambeth,2009,Buying.with.mortgage,27.1
Lewisham,2009,Buying.with.mortgage,38.7
Merton,2009,Buying.with.mortgage,36.4
Newham,2009,Buying.with.mortgage,19.6
Redbridge,2009,Buying.with.mortgage,40.1
Richmond upon Thames,2009,Buying.with.mortgage,44.5
Southwark,2009,Buying.with.mortgage,27.5
Sutton,2009,Buying.with.mortgage,45.2
Tower Hamlets,2009,Buying.with.mortgage,12.6
Waltham Forest,2009,Buying.with.mortgage,36
Wandsworth,2009,Buying.with.mortgage,38.5
Westminster,2009,Buying.with.mortgage,12.1
Inner London,2009,Buying.with.mortgage,23.6
Outer London,2009,Buying.with.mortgage,37.4
North East,2009,Buying.with.mortgage,36.9
North West,2009,Buying.with.mortgage,38.3
Yorkshire and The Humber,2009,Buying.with.mortgage,37.5
East Midlands,2009,Buying.with.mortgage,38.1
West Midlands,2009,Buying.with.mortgage,35.8
East of England,2009,Buying.with.mortgage,39
London,2009,Buying.with.mortgage,31.8
South East,2009,Buying.with.mortgage,41.7
South West,2009,Buying.with.mortgage,38.5
Wales,2009,Buying.with.mortgage,36.6
Scotland,2009,Buying.with.mortgage,37.2
Northern Ireland,2009,Buying.with.mortgage,36.7
UK,2009,Buying.with.mortgage,37.4
City of London,2008,Buying.with.mortgage,-
Barking and Dagenham,2008,Buying.with.mortgage,32.9
Barnet,2008,Buying.with.mortgage,33.7
Bexley,2008,Buying.with.mortgage,44.4
Brent,2008,Buying.with.mortgage,25.1
Bromley,2008,Buying.with.mortgage,48.8
Camden,2008,Buying.with.mortgage,19.4
Croydon,2008,Buying.with.mortgage,42.2
Ealing,2008,Buying.with.mortgage,32
Enfield,2008,Buying.with.mortgage,31.4
Greenwich,2008,Buying.with.mortgage,35.9
Hackney,2008,Buying.with.mortgage,20.8
Hammersmith and Fulham,2008,Buying.with.mortgage,22.5
Haringey,2008,Buying.with.mortgage,24.9
Harrow,2008,Buying.with.mortgage,33.8
Havering,2008,Buying.with.mortgage,45.8
Hillingdon,2008,Buying.with.mortgage,38.7
Hounslow,2008,Buying.with.mortgage,29.4
Islington,2008,Buying.with.mortgage,18.7
Kensington and Chelsea,2008,Buying.with.mortgage,15.6
Kingston upon Thames,2008,Buying.with.mortgage,40.3
Lambeth,2008,Buying.with.mortgage,27.1
Lewisham,2008,Buying.with.mortgage,38.7
Merton,2008,Buying.with.mortgage,36.4
Newham,2008,Buying.with.mortgage,19.6
Redbridge,2008,Buying.with.mortgage,40.1
Richmond upon Thames,2008,Buying.with.mortgage,44.5
Southwark,2008,Buying.with.mortgage,27.5
Sutton,2008,Buying.with.mortgage,45.2
Tower Hamlets,2008,Buying.with.mortgage,12.6
Waltham Forest,2008,Buying.with.mortgage,36
Wandsworth,2008,Buying.with.mortgage,38.5
Westminster,2008,Buying.with.mortgage,12.1
Inner London,2008,Buying.with.mortgage,23.6
Outer London,2008,Buying.with.mortgage,37.4
North East,2008,Buying.with.mortgage,36.9
North West,2008,Buying.with.mortgage,38.3
Yorkshire and The Humber,2008,Buying.with.mortgage,37.5
East Midlands,2008,Buying.with.mortgage,38.1
West Midlands,2008,Buying.with.mortgage,35.8
East of England,2008,Buying.with.mortgage,39
London,2008,Buying.with.mortgage,31.8
South East,2008,Buying.with.mortgage,41.7
South West,2008,Buying.with.mortgage,38.5
Wales,2008,Buying.with.mortgage,36.6
Scotland,2008,Buying.with.mortgage,37.2
Northern Ireland,2008,Buying.with.mortgage,36.7
UK,2008,Buying.with.mortgage,37.4
City of London,2007,Buying.with.mortgage,-
Barking and Dagenham,2007,Buying.with.mortgage,32.9
Barnet,2007,Buying.with.mortgage,33.7
Bexley,2007,Buying.with.mortgage,44.4
Brent,2007,Buying.with.mortgage,25.1
Bromley,2007,Buying.with.mortgage,48.8
Camden,2007,Buying.with.mortgage,19.4
Croydon,2007,Buying.with.mortgage,42.2
Ealing,2007,Buying.with.mortgage,32
Enfield,2007,Buying.with.mortgage,31.4
Greenwich,2007,Buying.with.mortgage,35.9
Hackney,2007,Buying.with.mortgage,20.8
Hammersmith and Fulham,2007,Buying.with.mortgage,22.5
Haringey,2007,Buying.with.mortgage,24.9
Harrow,2007,Buying.with.mortgage,33.8
Havering,2007,Buying.with.mortgage,45.8
Hillingdon,2007,Buying.with.mortgage,38.7
Hounslow,2007,Buying.with.mortgage,29.4
Islington,2007,Buying.with.mortgage,18.7
Kensington and Chelsea,2007,Buying.with.mortgage,15.6
Kingston upon Thames,2007,Buying.with.mortgage,40.3
Lambeth,2007,Buying.with.mortgage,27.1
Lewisham,2007,Buying.with.mortgage,38.7
Merton,2007,Buying.with.mortgage,36.4
Newham,2007,Buying.with.mortgage,19.6
Redbridge,2007,Buying.with.mortgage,40.1
Richmond upon Thames,2007,Buying.with.mortgage,44.5
Southwark,2007,Buying.with.mortgage,27.5
Sutton,2007,Buying.with.mortgage,45.2
Tower Hamlets,2007,Buying.with.mortgage,12.6
Waltham Forest,2007,Buying.with.mortgage,36
Wandsworth,2007,Buying.with.mortgage,38.5
Westminster,2007,Buying.with.mortgage,12.1
Inner London,2007,Buying.with.mortgage,23.6
Outer London,2007,Buying.with.mortgage,37.4
North East,2007,Buying.with.mortgage,36.9
North West,2007,Buying.with.mortgage,38.3
Yorkshire and The Humber,2007,Buying.with.mortgage,37.5
East Midlands,2007,Buying.with.mortgage,38.1
West Midlands,2007,Buying.with.mortgage,35.8
East of England,2007,Buying.with.mortgage,39
London,2007,Buying.with.mortgage,31.8
South East,2007,Buying.with.mortgage,41.7
South West,2007,Buying.with.mortgage,38.5
Wales,2007,Buying.with.mortgage,36.6
Scotland,2007,Buying.with.mortgage,37.2
Northern Ireland,2007,Buying.with.mortgage,36.7
UK,2007,Buying.with.mortgage,37.4
City of London,2006,Buying.with.mortgage,-
Barking and Dagenham,2006,Buying.with.mortgage,32.9
Barnet,2006,Buying.with.mortgage,33.7
Bexley,2006,Buying.with.mortgage,44.4
Brent,2006,Buying.with.mortgage,25.1
Bromley,2006,Buying.with.mortgage,48.8
Camden,2006,Buying.with.mortgage,19.4
Croydon,2006,Buying.with.mortgage,42.2
Ealing,2006,Buying.with.mortgage,32
Enfield,2006,Buying.with.mortgage,31.4
Greenwich,2006,Buying.with.mortgage,35.9
Hackney,2006,Buying.with.mortgage,20.8
Hammersmith and Fulham,2006,Buying.with.mortgage,22.5
Haringey,2006,Buying.with.mortgage,24.9
Harrow,2006,Buying.with.mortgage,33.8
Havering,2006,Buying.with.mortgage,45.8
Hillingdon,2006,Buying.with.mortgage,38.7
Hounslow,2006,Buying.with.mortgage,29.4
Islington,2006,Buying.with.mortgage,18.7
Kensington and Chelsea,2006,Buying.with.mortgage,15.6
Kingston upon Thames,2006,Buying.with.mortgage,40.3
Lambeth,2006,Buying.with.mortgage,27.1
Lewisham,2006,Buying.with.mortgage,38.7
Merton,2006,Buying.with.mortgage,36.4
Newham,2006,Buying.with.mortgage,19.6
Redbridge,2006,Buying.with.mortgage,40.1
Richmond upon Thames,2006,Buying.with.mortgage,44.5
Southwark,2006,Buying.with.mortgage,27.5
Sutton,2006,Buying.with.mortgage,45.2
Tower Hamlets,2006,Buying.with.mortgage,12.6
Waltham Forest,2006,Buying.with.mortgage,36
Wandsworth,2006,Buying.with.mortgage,38.5
Westminster,2006,Buying.with.mortgage,12.1
Inner London,2006,Buying.with.mortgage,23.6
Outer London,2006,Buying.with.mortgage,37.4
North East,2006,Buying.with.mortgage,36.9
North West,2006,Buying.with.mortgage,38.3
Yorkshire and The Humber,2006,Buying.with.mortgage,37.5
East Midlands,2006,Buying.with.mortgage,38.1
West Midlands,2006,Buying.with.mortgage,35.8
East of England,2006,Buying.with.mortgage,39
London,2006,Buying.with.mortgage,31.8
South East,2006,Buying.with.mortgage,41.7
South West,2006,Buying.with.mortgage,38.5
Wales,2006,Buying.with.mortgage,36.6
Scotland,2006,Buying.with.mortgage,37.2
Northern Ireland,2006,Buying.with.mortgage,36.7
UK,2006,Buying.with.mortgage,37.4
City of London,2018,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2018,Rented.from.Local.Authority.or.Housing.Association,29.1
Barnet,2018,Rented.from.Local.Authority.or.Housing.Association,14.8
Bexley,2018,Rented.from.Local.Authority.or.Housing.Association,8.4
Brent,2018,Rented.from.Local.Authority.or.Housing.Association,23.6
Bromley,2018,Rented.from.Local.Authority.or.Housing.Association,13.7
Camden,2018,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2018,Rented.from.Local.Authority.or.Housing.Association,20.2
Ealing,2018,Rented.from.Local.Authority.or.Housing.Association,12.2
Enfield,2018,Rented.from.Local.Authority.or.Housing.Association,21.4
Greenwich,2018,Rented.from.Local.Authority.or.Housing.Association,28.6
Hackney,2018,Rented.from.Local.Authority.or.Housing.Association,44.9
Hammersmith and Fulham,2018,Rented.from.Local.Authority.or.Housing.Association,29.2
Haringey,2018,Rented.from.Local.Authority.or.Housing.Association,20.1
Harrow,2018,Rented.from.Local.Authority.or.Housing.Association,8.5
Havering,2018,Rented.from.Local.Authority.or.Housing.Association,15.4
Hillingdon,2018,Rented.from.Local.Authority.or.Housing.Association,18.7
Hounslow,2018,Rented.from.Local.Authority.or.Housing.Association,21.5
Islington,2018,Rented.from.Local.Authority.or.Housing.Association,31.7
Kensington and Chelsea,2018,Rented.from.Local.Authority.or.Housing.Association,33.9
Kingston upon Thames,2018,Rented.from.Local.Authority.or.Housing.Association,9.1
Lambeth,2018,Rented.from.Local.Authority.or.Housing.Association,36.1
Lewisham,2018,Rented.from.Local.Authority.or.Housing.Association,29.7
Merton,2018,Rented.from.Local.Authority.or.Housing.Association,14.9
Newham,2018,Rented.from.Local.Authority.or.Housing.Association,27.5
Redbridge,2018,Rented.from.Local.Authority.or.Housing.Association,8
Richmond upon Thames,2018,Rented.from.Local.Authority.or.Housing.Association,8.9
Southwark,2018,Rented.from.Local.Authority.or.Housing.Association,37.1
Sutton,2018,Rented.from.Local.Authority.or.Housing.Association,10.5
